SKU;Style;Manufacturer;Name;Colour;Size;Farbtyp;Groessentyp;UVP;Weight KG;Status;Packshot;EAN;Manufacturer SKU
01000645002;01.0006;B&C Collection;B&C | Exact V-Neck;royal blue;M;colors;all;3,75;0,17;ACTUAL;796CE214-20E7-4CC1-B88D-43C8B47FDC45.jpg;;TU0064501M
01000645003;01.0006;B&C Collection;B&C | Exact V-Neck;royal blue;L;colors;all;3,75;0,17;ACTUAL;796CE214-20E7-4CC1-B88D-43C8B47FDC45.jpg;;TU0064501L
01000645004;01.0006;B&C Collection;B&C | Exact V-Neck;royal blue;XL;colors;all;3,75;0,18;ACTUAL;796CE214-20E7-4CC1-B88D-43C8B47FDC45.jpg;;TU006450XL
01000645005;01.0006;B&C Collection;B&C | Exact V-Neck;royal blue;XXL;colors;all;3,75;0,19;ACTUAL;796CE214-20E7-4CC1-B88D-43C8B47FDC45.jpg;;TU0064502X
01000662001;01.0006;B&C Collection;B&C | Exact V-Neck;sport grey;S;colors;all;3,75;0,16;ACTUAL;EFFDE668-6A1A-4CAE-9F00-6A8DA675F318.jpg;;TU0066201S
01000662002;01.0006;B&C Collection;B&C | Exact V-Neck;sport grey;M;colors;all;3,75;0,17;ACTUAL;EFFDE668-6A1A-4CAE-9F00-6A8DA675F318.jpg;;TU0066201M
01000662003;01.0006;B&C Collection;B&C | Exact V-Neck;sport grey;L;colors;all;3,75;0,17;ACTUAL;EFFDE668-6A1A-4CAE-9F00-6A8DA675F318.jpg;;TU0066201L
01000662004;01.0006;B&C Collection;B&C | Exact V-Neck;sport grey;XL;colors;all;3,75;0,18;ACTUAL;EFFDE668-6A1A-4CAE-9F00-6A8DA675F318.jpg;;TU006620XL
01000662005;01.0006;B&C Collection;B&C | Exact V-Neck;sport grey;XXL;colors;all;3,75;0,19;ACTUAL;EFFDE668-6A1A-4CAE-9F00-6A8DA675F318.jpg;;TU0066202X
01000667001;01.0006;B&C Collection;B&C | Exact V-Neck;dark grey;S;colors;all;3,75;0,16;ACTUAL;05DCEC07-CD54-470E-8CA3-09D6397C2F06.jpg;;TU0066701S
01000667002;01.0006;B&C Collection;B&C | Exact V-Neck;dark grey;M;colors;all;3,75;0,17;ACTUAL;05DCEC07-CD54-470E-8CA3-09D6397C2F06.jpg;;TU0066701M
01000667003;01.0006;B&C Collection;B&C | Exact V-Neck;dark grey;L;colors;all;3,75;0,17;ACTUAL;05DCEC07-CD54-470E-8CA3-09D6397C2F06.jpg;;TU0066701L
01000667004;01.0006;B&C Collection;B&C | Exact V-Neck;dark grey;XL;colors;all;3,75;0,18;ACTUAL;05DCEC07-CD54-470E-8CA3-09D6397C2F06.jpg;;TU006670XL
01000667005;01.0006;B&C Collection;B&C | Exact V-Neck;dark grey;XXL;colors;all;3,75;0,19;ACTUAL;05DCEC07-CD54-470E-8CA3-09D6397C2F06.jpg;;TU0066702X
01001400100;01.0014;B&C Collection;B&C | Women-Only Tattoo;white;XS;white;all;3,00;0,07;SELLOUT;9F1835A6-CE1D-4A0A-9A24-D6B619E803C3.jpg;;A_TW014001XS
01001400101;01.0014;B&C Collection;B&C | Women-Only Tattoo;white;S;white;all;3,00;0,07;SELLOUT;9F1835A6-CE1D-4A0A-9A24-D6B619E803C3.jpg;;A_TW0140011S
01001400102;01.0014;B&C Collection;B&C | Women-Only Tattoo;white;M;white;all;3,00;0,08;SELLOUT;9F1835A6-CE1D-4A0A-9A24-D6B619E803C3.jpg;;A_TW0140011M
01001400103;01.0014;B&C Collection;B&C | Women-Only Tattoo;white;L;white;all;3,00;0,09;SELLOUT;9F1835A6-CE1D-4A0A-9A24-D6B619E803C3.jpg;;A_TW0140011L
01001400104;01.0014;B&C Collection;B&C | Women-Only Tattoo;white;XL;white;all;3,00;0,10;SELLOUT;9F1835A6-CE1D-4A0A-9A24-D6B619E803C3.jpg;;A_TW014001XL
01001T00100;01.001T;B&C Collection;B&C | #E150;white;XS;white;XS-XXL;2,40;0,11;ACTUAL;E88E2F84-384A-49F0-811D-9BCB1F561D2D.jpg;;TU01T001XS
